M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   |   |   |   |   before NldfgBuild : Computing sequential SCCs M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   after  NldfgBuild : Computing sequential SCCs M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   before NldfgBuild : Create simulator clocks, changeAts and Triggers M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   after  NldfgBuild : Create simulator clocks, changeAts and Triggers M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   before NldfgBuild : SymSimulator Analysis and computation M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   after  NldfgBuild : SymSimulator Analysis and computation M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   before NldfgBuild : Collect Aeps M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   after  NldfgBuild : Collect Aeps M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   before NldfgBuild : Cleanup Simulator M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   after  NldfgBuild : Cleanup Simulator M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   before NldfgBuild : Cleanup Samplers M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   after  NldfgBuild : Cleanup Samplers M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   after  NldfgBuild : Create dfg M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   after  DfgBuild: NldfgBuild : M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   before StaticCheck: StaticCheckProcess : M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   before StaticCheck: NldfgFlatDesign : M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   after  StaticCheck: NldfgFlatDesign : M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   before StaticCheck: CombLoopCheck  : M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
