M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   |   |   |   |   after  NldfgBuild : Compute combinational SCCs M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   before NldfgBuild : Compute templates M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   after  NldfgBuild : Compute templates M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   before NldfgBuild : Eliminate combinational SCCs M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   after  NldfgBuild : Eliminate combinational SCCs M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   before NldfgBuild : Computing sequential SCCs M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   after  NldfgBuild : Computing sequential SCCs M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   before NldfgBuild : Create simulator clocks, changeAts and Triggers M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   after  NldfgBuild : Create simulator clocks, changeAts and Triggers M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   before NldfgBuild : SymSimulator Analysis and computation M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   after  NldfgBuild : SymSimulator Analysis and computation M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   before NldfgBuild : Collect Aeps M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   after  NldfgBuild : Collect Aeps M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   before NldfgBuild : Cleanup Simulator M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   after  NldfgBuild : Cleanup Simulator M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   before NldfgBuild : Cleanup Samplers M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   after  NldfgBuild : Cleanup Samplers M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   after  NldfgBuild : Create dfg M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   after  DfgBuild: NldfgBuild : M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   before StaticCheck: StaticCheckProcess : M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   before StaticCheck: NldfgFlatDesign : M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   after  StaticCheck: NldfgFlatDesign : M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   before StaticCheck: CombLoopCheck  : M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   before CombLoop : Topo Order M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   after  CombLoop : Topo Order M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   before CombLoop : Compute Segments M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   after  CombLoop : Compute Segments M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   after  StaticCheck: CombLoopCheck  : M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   before StaticCheck: MultiDriverCheck  : M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   after  StaticCheck: MultiDriverCheck  : M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   after  StaticCheck: StaticCheckProcess : M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   before DfgBuild: DfgRemodel : M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   after  DfgBuild: DfgRemodel : M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   after  Check: FormalModel : M=1444.27mb, Malloc-M=512mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   after  Check: BuildFormal : M=1444.27mb, Malloc-M=512mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   before Check: GCDB : M=1444.27mb, Malloc-M=512mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   after  Check: GCDB : M=1444.27mb, Malloc-M=512mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
