cycle,event,a,b,c,d,e
57,value,0,0,0,0,0
57,imm,1,1,1,0,0
57,decode,19,0,0,0,0
58,operand,0,20,0,1,19
58,value,0,0,0,0,0
58,imm,1,1,1,0,0
58,decode,19,0,0,0,0
59,operand,0,21,0,1,19
59,value,0,0,0,0,0
59,imm,1,1,1,0,0
59,decode,19,0,0,0,0
60,operand,0,22,0,1,19
60,value,0,0,0,0,0
60,imm,1,1,1,0,0
60,decode,19,0,0,0,0
61,operand,0,23,0,1,19
61,value,0,0,0,0,0
61,imm,1,1,1,0,0
61,decode,19,0,0,0,0
62,operand,0,24,0,1,19
62,value,0,0,0,0,0
62,imm,1,1,1,0,0
62,decode,19,0,0,0,0
63,operand,0,25,0,1,19
63,value,0,0,0,0,0
63,imm,1,1,1,0,0
63,decode,19,0,0,0,0
64,operand,0,26,0,1,19
64,value,0,0,0,0,0
64,imm,1,1,1,0,0
64,decode,19,0,0,0,0
65,operand,0,27,0,1,19
65,value,0,0,0,0,0
65,imm,1,1,1,0,0
65,decode,19,0,0,0,0
66,operand,0,28,0,1,19
66,value,0,0,0,0,0
66,imm,1,1,1,0,0
66,decode,19,0,0,0,0
67,operand,0,29,0,1,19
67,value,0,0,0,0,0
67,imm,1,1,1,0,0
67,decode,19,0,0,0,0
68,operand,0,30,0,1,19
68,value,0,0,0,0,0
68,imm,1,1,1,0,0
68,decode,51,0,0,0,0
69,operand,0,31,0,1,19
69,value,0,0,0,0,0
69,imm,1,1,1,0,0
69,decode,51,0,0,0,0
70,operand,0,0,0,1,51
70,value,0,0,0,0,0
70,decode,51,0,0,0,0
71,operand,0,0,1,1,51
71,value,0,0,0,0,0
71,decode,51,0,0,0,0
72,operand,0,0,2,1,51
72,value,0,0,0,0,0
72,decode,51,0,0,0,0
73,operand,0,0,3,1,51
73,value,0,0,0,0,0
73,decode,51,0,0,0,0
74,operand,0,0,4,1,51
74,value,0,0,0,0,0
74,decode,51,0,0,0,0
75,operand,0,0,5,1,51
75,value,0,0,0,0,0
75,decode,51,0,0,0,0
76,operand,0,0,6,1,51
76,value,0,0,0,0,0
76,decode,51,0,0,0,0
77,operand,0,0,7,1,51
77,value,0,0,0,0,0
77,decode,51,0,0,0,0
78,operand,0,0,8,1,51
78,value,0,0,0,0,0
78,decode,51,0,0,0,0
79,operand,0,0,9,1,51
79,value,0,0,0,0,0
79,decode,51,0,0,0,0
80,operand,0,0,10,1,51
80,value,0,0,0,0,0
80,decode,51,0,0,0,0
81,operand,0,0,11,1,51
81,value,0,0,0,0,0
81,decode,51,0,0,0,0
82,operand,0,0,12,1,51
82,value,0,0,0,0,0
82,decode,51,0,0,0,0
83,operand,0,0,13,1,51
83,value,0,0,0,0,0
83,decode,51,0,0,0,0
84,operand,0,0,14,1,51
84,value,0,0,0,0,0
84,decode,51,0,0,0,0
85,operand,0,0,15,1,51
85,value,0,0,0,0,0
85,decode,51,0,0,0,0
86,operand,0,0,16,1,51
86,value,0,0,0,0,0
86,decode,51,0,0,0,0
87,operand,0,0,17,1,51
87,value,0,0,0,0,0
87,decode,51,0,0,0,0
88,operand,0,0,18,1,51
88,value,0,0,0,0,0
88,decode,51,0,0,0,0
89,operand,0,0,19,1,51
89,value,0,0,0,0,0
89,decode,51,0,0,0,0
90,operand,0,0,20,1,51
90,value,0,0,0,0,0
90,decode,51,0,0,0,0
91,operand,0,0,21,1,51
91,value,0,0,0,0,0
