cycle,event,a,b,c,d,e
84,decode,3,0,2,0,2
84,bp,1,0,0,0,0
84,redirect,1,0,0,0,0
85,operand,1,0,16,5,111
85,value,0,0,0,0,0
85,imm,5,2,0,16,0
87,decode,19,0,0,127,0
88,decode,35,0,2,0,2
89,operand,2,2,16,1,19
89,value,16368,0,0,0,0
89,imm,1,3,0,4294967280,0
89,decode,111,0,0,0,0
89,jump,1,0,0,0,0
89,ls,0,1,2,0,0
89,ras,push,0,0,0,0
90,operand,12,2,1,3,35
90,value,16352,140,0,0,0
90,imm,2,2,0,12,0
90,decode,3,0,2,0,2
90,bp,1,0,0,0,0
90,redirect,1,0,0,0,0
91,operand,1,0,16,5,111
91,value,0,0,0,0,0
91,imm,5,2,0,16,0
93,decode,19,0,0,0,0
93,ras,pop,0,0,0,0
94,decode,103,0,0,0,0
94,jump,0,1,0,0,0
95,operand,20,0,5,1,19
95,value,0,1,0,0,0
95,imm,1,2,0,5,0
95,decode,3,0,2,0,2
95,bp,0,0,0,0,0
96,operand,0,1,0,5,103
96,value,164,0,0,0,0
96,imm,1,1,1,0,0
96,decode,19,0,0,0,0
96,ls,1,0,2,0,0
96,ras,pop,0,0,0,0
97,operand,1,2,12,2,3
97,value,16352,0,0,0,0
97,imm,1,2,0,12,0
97,decode,103,0,0,0,0
97,jump,0,1,0,0,0
98,operand,2,2,16,1,19
98,value,16352,0,0,0,0
98,imm,1,2,0,16,0
98,decode,3,0,2,0,2
98,bp,0,0,0,0,0
99,operand,0,1,0,5,103
99,value,140,0,0,0,0
99,imm,1,1,1,0,0
99,decode,19,0,0,0,0
99,ls,1,0,2,0,0
99,ras,pop,0,0,0,0
100,operand,1,2,12,2,3
100,value,16368,0,0,0,0
100,imm,1,2,0,12,0
100,decode,103,0,0,0,0
100,jump,0,1,0,0,0
101,operand,2,2,16,1,19
101,value,16368,0,0,0,0
101,imm,1,2,0,16,0
101,decode,23,0,0,0,0
101,bp,0,0,0,0,0
102,operand,0,1,0,5,103
102,value,104,0,0,0,0
